"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 08 16:36:26 MSK 2026","Fri May 08 16:36:38 MSK 2026","12337","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","detailScreen_opensFromHome_andBackReturnsToHome","detailScreen_opensFromHome_andBackReturnsToHome","Проверяет основной сценарий: пользователь открывает детали фильма и закрывает экран деталей действием Back."
"passed","Fri May 08 16:36:50 MSK 2026","Fri May 08 16:36:55 MSK 2026","5394","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","splashScreen_isShown_thenHomeScreenOpens","splashScreen_isShown_thenHomeScreenOpens","Проверяет основной сценарий: при старте приложения показывается splash, затем открывается Home экран."
"passed","Fri May 08 16:36:38 MSK 2026","Fri May 08 16:36:50 MSK 2026","11830","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","detailScreen_showsNetworkError_whenNetworkDisabled","detailScreen_showsNetworkError_whenNetworkDisabled","Проверяет ошибочный сценарий: при отключении сети и открытии деталей появляется диалог Network error, который можно закрыть."
"passed","Fri May 08 16:36:55 MSK 2026","Fri May 08 16:37:01 MSK 2026","5381","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","","com.example.moviedb.appium.MovieFlowAppiumBlackBoxTest","homeScreen_displaysMoviesGrid","homeScreen_displaysMoviesGrid","Проверяет основной сценарий: на Home экране отображается сетка фильмов."
