"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /berry/cheri при корректном имени: ожидаем 200 и name=cheri.","286","getBerry_success_returns200AndCorrectName","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getBerry_success_returns200AndCorrectName"
"GET /move/unknown при несуществующем имени: ожидаем 404.","1633","getMove_error_returns404ForUnknownMove","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getMove_error_returns404ForUnknownMove"
"GET /pokemon/nonexistent при несуществующем имени: ожидаем 404.","1802","getPokemon_error_returns404ForUnknownPokemon","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getPokemon_error_returns404ForUnknownPokemon"
"GET /move/pound при корректном имени: ожидаем 200 и name=pound.","354","getMove_success_returns200AndCorrectName","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getMove_success_returns200AndCorrectName"
"GET /berry/unknown при несуществующем имени: ожидаем 404.","1732","getBerry_error_returns404ForUnknownBerry","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getBerry_error_returns404ForUnknownBerry"
"GET /pokemon/pikachu при корректном имени: ожидаем 200 и name=pikachu.","1502","getPokemon_success_returns200AndCorrectName","","2026-04-19","passed","2026-04-19","","com.example.moviedb.api.KtorApiTest","com.example.moviedb.api.KtorApiTest","getPokemon_success_returns200AndCorrectName"
